uid,__fonte,nome_original,nome_canonico,chave_strict,chave_loose,preparo_detectado,grupo,subgrupo,subgrupo_n3
000fa2a3-475c-53cf-a74f-613c1e9a2e36,CIQUAL,"Soupe aux lentilles, préemballée à réchauffer","Soupe aux lentilles, préemballée à réchauffer",soupe aux lentilles preemballee a rechauffer,soupe aux lentilles preemballee a rechauffer,,,soupes,-
000fa7d6-c19f-54a2-88ae-c907afe8003e,TBCA,386,386,386,386,,,,
00264cb5-3ef6-5796-97e8-490a7db7e70c,INSA,Espadarte cru,Espadarte cru,espadarte cru,espadarte,cru,,,
002d9618-be1d-560e-a928-053ee019fd37,CIQUAL,"Veau, rôti, cuit","Veau, rôti, cuit",veau roti cuit,veau roti cuit,,,viandes cuites,bœuf et veau
004c9ade-5ab4-5b6e-adae-f04a4eba532c,CIQUAL,Tarte aux abricots,Tarte aux abricots,tarte aux abricots,tarte aux abricots,,,gâteaux et pâtisseries,-
004fbfdc-6135-5c14-b4e7-1ae2b8add5aa,CIQUAL,"Choucroute garnie, préemballée","Choucroute garnie, préemballée",choucroute garnie preemballee,choucroute garnie preemballee,,,plats composés,plats de viande et légumes/légumineuses
005aa229-87f1-5a5d-ba63-92e86c0f2512,CIQUAL,"Boeuf, joue, braisée ou bouillie","Boeuf, joue, braisée ou bouillie",boeuf joue braisee ou bouillie,boeuf joue braisee ou bouillie,,,viandes cuites,bœuf et veau
00928615-3f69-548b-90a8-df245f92f5c5,INSA,"Tisana, infusão de ervas","Tisana, infusão de ervas",tisana infusao de ervas,tisana infusao de ervas,,,,
00ad7b64-8d67-59e4-9ea9-da58097ace8f,CIQUAL,"Clafoutis aux fruits, préemballé","Clafoutis aux fruits, préemballé",clafoutis aux fruits preemballe,clafoutis aux fruits preemballe,,,produits laitiers frais et assimilés,autres desserts
00adc819-d5a6-541d-b8a0-e3646906e78b,CIQUAL,Biscuit sec avec tablette de chocolat,Biscuit sec avec tablette de chocolat,biscuit sec avec tablette de chocolat,biscuit sec avec tablette de chocolat,,,biscuits sucrés,-
00c617ed-35de-5825-81d2-fa3829a588b5,INSA,"Sumo de laranja, concentrado","Sumo de laranja, concentrado",sumo de laranja concentrado,sumo de laranja concentrado,,,,
00c6423b-bcf4-56c7-b8ba-bb9204397f68,CIQUAL,"Tarte aux noix de Saint-Jacques, préemballée","Tarte aux noix de Saint-Jacques, préemballée",tarte aux noix de saint-jacques preemballee,tarte aux noix de saint-jacques preemballee,,,"pizzas, tartes et crêpes salées",-
00d2a4c1-2ddb-5227-aa4a-bc29e2b2d9a3,CIQUAL,Nectar de mangue,Nectar de mangue,nectar de mangue,nectar de mangue,,,boissons sans alcool,nectars
00dd80d3-7c58-5d81-b57a-89d1e7501274,TACO,"Lingüiça, porco, grelhada","Lingüiça, porco, grelhada",linguica porco grelhada,linguica porco,grelhada,Carnes e derivados,,
00f19c33-270c-50f0-ba3e-a7ce70a9f3e9,CIQUAL,"Jus d'orange, à base de concentré","Jus d'orange, à base de concentré",jus d orange a base de concentre,jus d orange a base de concentre,,,boissons sans alcool,jus
00fdf50c-3642-53ac-ab70-ee61e9709926,INSA,Chicharro cru,Chicharro cru,chicharro cru,chicharro,cru,,,
010685bf-2cd2-5171-8ec8-d6433574dac1,CIQUAL,"Eau minérale San Bernardo, embouteillée, très faiblement minéralisée (Italie)","Eau minérale San Bernardo, embouteillée, très faiblement minéralisée (Italie)",eau minerale san bernardo embouteillee tres faiblement mineralisee italie,eau minerale san bernardo embouteillee tres faiblement mineralisee italie,,,eaux,-
012525fd-6b6b-5acd-a5e3-55c6db6223ea,INSA,Rissol de camarão,Rissol de camarão,rissol de camarao,rissol de camarao,,,,
0132d563-73b7-5bf3-adc2-b0a7e981ab65,CIQUAL,Crème pâtissière,Crème pâtissière,creme patissiere,creme patissiere,,,produits laitiers frais et assimilés,autres desserts
014fd304-013e-5256-84a5-715025295251,INSA,"Biscoitos, línguas de gato","Biscoitos, línguas de gato",biscoitos linguas de gato,biscoitos linguas de gato,,,,
01507159-f547-56d6-9b23-594a0f46cbef,INSA,"Peru, peito sem pele estufado com margarina","Peru, peito sem pele estufado com margarina",peru peito sem pele estufado com margarina,peru peito sem pele estufado com margarina,,,,
01515040-db4a-5c51-985e-10a5ece031eb,INSA,Biscoitos caseiros,Biscoitos caseiros,biscoitos caseiros,biscoitos caseiros,,,,
0151a957-5a4a-5a61-9688-d96b42269126,INSA,"Maionese caseira, com ovo e óleo de soja","Maionese caseira, com ovo e óleo de soja",maionese caseira com ovo e oleo de soja,maionese caseira com ovo e oleo de soja,,,,
0158233e-244c-5acf-9abc-64e84cad724e,INSA,Fisális,Fisális,fisalis,fisalis,,,,
015fa617-423b-52ca-8562-a1bf63ee2e7f,INSA,Açúcar branco,Açúcar branco,acucar branco,acucar branco,,,,
0161794d-2dc7-513f-aa9c-a200d622d36d,TACO,"Fermento, biológico, levedura, tablete","Fermento, biológico, levedura, tablete",fermento biologico levedura tablete,fermento biologico levedura tablete,,Miscelâneas,,
017694f7-74e3-5b8a-9987-8345dece7130,CIQUAL,"Courge hokkaïdo, pulpe, crue","Courge hokkaïdo, pulpe, crue",courge hokkaido pulpe crue,courge hokkaido pulpe crue,,,légumes,légumes crus
01838e43-7207-5148-8a5f-301aa7d98b8e,TACO,"Cajá-Manga, cru","Cajá-Manga, cru",caja-manga cru,caja-manga,cru,Frutas e derivados,,
