uid,nome_canonico,__prio,grupo,subgrupo,subgrupo_n3,preparo_detectado,chave_strict,chave_loose,ac_pantotenico_b5_mg_100g,acucares_totais_g_100g,amido_g_100g,beta_caroteno_ug_100g,calcio_mg_100g,carboidratos_g_100g,cinzas_g_100g,cloreto_mg_100g,cobalamina_b12_ug_100g,cobre_mg_100g,colesterol_mg_100g,energia_kcal_100g,energia_kj_100g,ferro_mg_100g,fibra_alimentar_g_100g,folato_b9_ug_100g,fosforo_mg_100g,iodo_ug_100g,lipidios_g_100g,magnesio_mg_100g,manganes_mg_100g,niacina_b3_mg_100g,piridoxina_b6_mg_100g,potassio_mg_100g,proteina_g_100g,retinol_ug_100g,riboflavina_b2_mg_100g,selenio_ug_100g,sodio_mg_100g,tiamina_b1_mg_100g,umidade_g_100g,vitamina_c_mg_100g,vitamina_d_ug_100g,vitamina_e_mg_100g,vitamina_k1_ug_100g,vitamina_k2_ug_100g,zinco_mg_100g,__fonte,nome_original,similar_group_id
000fa2a3-475c-53cf-a74f-613c1e9a2e36,"Soupe aux lentilles, préemballée à réchauffer",4,,soupes,-,,soupe aux lentilles preemballee a rechauffer,soupe aux lentilles preemballee a rechauffer,0.14,0.7,,430.0,25.0,6.6,1.24,,0.12,0.17,3.0,,,1.07,1.8,20.0,74.0,4.0,1.12,19.0,0.24,0.55,0.09,144.0,3.74,0.0,0.045,16.1,143.0,0.07,85.8,1.7,,0.0,,,0.61,CIQUAL,"Soupe aux lentilles, préemballée à réchauffer",ec016fced6b3
000fa7d6-c19f-54a2-88ae-c907afe8003e,386,1,,,,,386,386,,,,,18.0,34.5,1.8,,,0.09,15.0,283.0,1184.0,1.3,5.0,,93.0,,11.8,17.0,0.28,2.6,1e-05,166.0,9.6,1e-05,1e-05,,532.0,0.09,42.2,1e-05,,,,,0.5,TBCA,386,295df4a5051a
00264cb5-3ef6-5796-97e8-490a7db7e70c,Espadarte cru,3,,,,cru,espadarte cru,espadarte,,0.0,0.0,0.0,5.0,,,,1.4,,45.0,97,410,0.6,0.0,14.0,260.0,,,30.0,,4.1,0.47,390.0,17.8,,0.04,,72.0,0.11,77.5,0.0,1.3,,,,0.9,INSA,Espadarte cru,d5ddb2c62eeb
002d9618-be1d-560e-a928-053ee019fd37,"Veau, rôti, cuit",4,,viandes cuites,bœuf et veau,,veau roti cuit,veau roti cuit,1.0,,,,6.0,0.0,1.5,,1.18,0.13,103.0,,,0.9,0.0,16.0,236.0,,3.39,28.0,0.031,10.1,0.31,393.0,28.1,0.0,0.33,,68.0,0.06,67.0,0.0,,0.55,,,3.08,CIQUAL,"Veau, rôti, cuit",81394797ecbc
004c9ade-5ab4-5b6e-adae-f04a4eba532c,Tarte aux abricots,4,,gâteaux et pâtisseries,-,,tarte aux abricots,tarte aux abricots,,17.4,15.7,,25.0,41.0,0.72,182.0,,,39.8,,,6.0,5.9,,,,10.7,,,,,,3.18,,,,89.3,,41.5,,,,,,,CIQUAL,Tarte aux abricots,f1911698255f
004fbfdc-6135-5c14-b4e7-1ae2b8add5aa,"Choucroute garnie, préemballée",4,,plats composés,plats de viande et légumes/légumineuses,,choucroute garnie preemballee,choucroute garnie preemballee,,0.66,,0.0,27.1,2.8,1.6,633.0,,0.076,34.7,,,0.83,2.71,10.0,60.6,17.8,8.06,18.0,0.067,0.68,0.02,97.5,5.06,0.0,0.11,,552.0,0.14,82.4,9.09,0.0,0.25,,,0.84,CIQUAL,"Choucroute garnie, préemballée",ecf5dc103983
005aa229-87f1-5a5d-ba63-92e86c0f2512,"Boeuf, joue, braisée ou bouillie",4,,viandes cuites,bœuf et veau,,boeuf joue braisee ou bouillie,boeuf joue braisee ou bouillie,,,,,,,,,7.23,,,,,2.04,0.0,,,,8.82,,,4.67,0.096,,39.2,,,25.3,,,52.9,,,,,,4.75,CIQUAL,"Boeuf, joue, braisée ou bouillie",1aa983356bfe
00928615-3f69-548b-90a8-df245f92f5c5,"Tisana, infusão de ervas",3,,,,,tisana infusao de ervas,tisana infusao de ervas,,0.2,0.0,0.0,2.0,,,,0.0,,0.0,1,3,0.0,0.0,1.0,1.0,,,1.0,,0.0,0.0,10.0,0.0,,0.0,0.2,2.0,0.0,99.8,0.0,0.0,,,,0.0,INSA,"Tisana, infusão de ervas",fd14783712c7
00ad7b64-8d67-59e4-9ea9-da58097ace8f,"Clafoutis aux fruits, préemballé",4,,produits laitiers frais et assimilés,autres desserts,,clafoutis aux fruits preemballe,clafoutis aux fruits preemballe,0.49,21.4,4.4,31.7,84.0,27.2,0.7,91.0,0.24,0.069,68.0,,,0.57,1.88,23.0,76.2,11.9,6.51,15.0,0.087,0.32,0.1,182.0,5.11,56.0,0.15,,76.7,0.043,58.5,,,0.43,,,0.39,CIQUAL,"Clafoutis aux fruits, préemballé",ea936118d4f6
00adc819-d5a6-541d-b8a0-e3646906e78b,Biscuit sec avec tablette de chocolat,4,,biscuits sucrés,-,,biscuit sec avec tablette de chocolat,biscuit sec avec tablette de chocolat,0.51,36.8,26.5,49.0,94.0,63.3,1.3,,0.2,0.25,26.4,,,5.3,2.65,36.0,185.0,24.0,24.1,37.5,0.35,0.68,0.2,218.0,6.62,75.0,0.28,,240.0,0.17,2.01,1.1,,0.89,,,0.8,CIQUAL,Biscuit sec avec tablette de chocolat,8d6849b0386f
