Painel de vendas
Última atualização,September 07 2024 3:1:40 PM BRT

Filtrar seleção
Data,Custom
Detalhamento das vendas,Total do site da Amazon
Gestão de logística,Ambos (Amazon e vendedor)

Panorama de vendas
Total de itens do pedido,Unidades pedidas,Vendas de produtos pedidos,Média de unidades/item do pedido,Média de vendas/item do pedido
37,43,"R$ 2.439,80",1.16,65.94
Comparar vendas - Exibição em gráfico
Horário,Período selecionado (Vendas de produtos pedidos),Período selecionado (Unidades pedidas),Mesmo período um ano atrás (Vendas de produtos pedidos),Mesmo período um ano atrás (Unidades pedidas)
2024-09-01T00:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-01T01:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-01T02:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-01T03:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-01T04:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-01T05:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-01T06:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-01T07:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-01T08:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-01T09:00:00,"R$ 99,00",1.0,"R$ 0,00",0.0
2024-09-01T10:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-01T11:00:00,"R$ 59,90",1.0,"R$ 0,00",0.0
2024-09-01T12:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-01T13:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-01T14:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-01T15:00:00,"R$ 59,90",1.0,"R$ 0,00",0.0
2024-09-01T16:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-01T17:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-01T18:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-01T19:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-01T20:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-01T21:00:00,"R$ 59,90",1.0,"R$ 0,00",0.0
2024-09-01T22:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-01T23:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-02T00:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-02T01:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-02T02:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-02T03:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-02T04:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-02T05:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-02T06:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-02T07:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-02T08:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-02T09:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-02T10:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-02T11:00:00,"R$ 134,70",3.0,"R$ 0,00",0.0
2024-09-02T12:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-02T13:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-02T14:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-02T15:00:00,"R$ 44,90",1.0,"R$ 0,00",0.0
2024-09-02T16:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-02T17:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-02T18:00:00,"R$ 299,50",5.0,"R$ 0,00",0.0
2024-09-02T19:00:00,"R$ 59,90",1.0,"R$ 0,00",0.0
2024-09-02T20:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-02T21:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-02T22:00:00,"R$ 59,90",1.0,"R$ 0,00",0.0
2024-09-02T23:00:00,"R$ 109,80",2.0,"R$ 0,00",0.0
2024-09-03T00:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-03T01:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-03T02:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-03T03:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-03T04:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-03T05:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-03T06:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-03T07:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-03T08:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-03T09:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-03T10:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-03T11:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-03T12:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-03T13:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-03T14:00:00,"R$ 59,90",1.0,"R$ 0,00",0.0
2024-09-03T15:00:00,"R$ 59,90",1.0,"R$ 0,00",0.0
2024-09-03T16:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-03T17:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-03T18:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-03T19:00:00,"R$ 59,90",1.0,"R$ 0,00",0.0
2024-09-03T20:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-03T21:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-03T22:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-03T23:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-04T00:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-04T01:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-04T02:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-04T03:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-04T04:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-04T05:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-04T06:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-04T07:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-04T08:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-04T09:00:00,"R$ 44,90",1.0,"R$ 0,00",0.0
2024-09-04T10:00:00,"R$ 59,90",1.0,"R$ 0,00",0.0
2024-09-04T11:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-04T12:00:00,"R$ 59,90",1.0,"R$ 0,00",0.0
2024-09-04T13:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-04T14:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-04T15:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-04T16:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-04T17:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-04T18:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-04T19:00:00,"R$ 44,90",1.0,"R$ 0,00",0.0
2024-09-04T20:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-04T21:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-04T22:00:00,"R$ 59,90",1.0,"R$ 0,00",0.0
2024-09-04T23:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
2024-09-05T00:00:00,"R$ 0,00",0.0,"R$ 0,00",0.0
